function,freq
0,254035
1,872
2,3384
3,941
4,3314
5,976
6,281
7,594
8,12145
9,366
10,5122
11,1058
12,5047
13,1002
14,2164
15,4623
16,3279
17,903
18,297
19,560
20,301
21,558
22,1
23,53
24,54
25,228
26,56
27,368
28,47
29,375
30,12
31,828
32,12139
33,406
34,5138
35,997
36,57
37,242
38,46
39,398
40,300
41,30
42,3829
43,2028
44,117
45,48
46,212
47,2593
48,5114
49,1035
50,2126
51,4522
52,43
53,408
54,27
55,803
56,111
57,51
58,214
59,2631
60,71
61,73
62,76
63,4792
64,12284
65,372
66,53
67,200
68,5196
69,1068
70,45
71,406
72,312
73,34
74,126
75,36
76,3767
77,1939
78,234
79,2611
80,5123
81,1005
82,42
83,398
84,2293
85,4657
86,18
87,822
88,105
89,48
90,79
91,76
92,230
93,2694
94,65
95,4753
96,304
97,23
98,133
99,45
100,123
101,41
102,66
103,64
104,6
105,1
106,97
107,72
108,123
109,61
110,150
111,435
112,3706
113,2070
114,211
115,2548
116,240
117,2635
118,74
119,4766
120,91
121,73
122,127
123,406
124,142
125,449
126,84
127,13128
128,14891
129,102
130,480
131,104
132,469
133,145
134,61
135,120
136,5380
137,94
138,2993
139,251
140,3004
141,256
142,2174
143,4105
144,494
145,172
146,70
147,81
148,59
149,111
150,0
151,7
152,63
153,56
154,43
155,109
156,37
157,120
158,31
159,309
160,5350
161,90
162,2989
163,236
164,77
165,83
166,51
167,113
168,829
169,27
170,5037
171,2405
172,437
173,34
174,1037
175,5567
176,2819
177,252
178,2198
179,4017
180,45
181,112
182,32
183,340
184,371
185,58
186,1035
187,5488
188,209
189,58
190,358
191,12508
192,5362
193,93
194,79
195,73
196,2914
197,265
198,58
199,114
200,779
201,17
202,370
203,39
204,4991
205,2392
206,1043
207,5447
208,2957
209,224
210,46
211,136
212,2231
213,4132
214,30
215,342
216,421
217,54
218,247
219,70
220,989
221,5450
222,382
223,12668
224,821
225,19
226,414
227,52
228,419
229,53
230,191
231,54
232,64
233,1
234,527
235,243
236,525
237,287
238,1008
239,3211
240,4962
241,2400
242,1028
243,5437
244,1091
245,5529
246,401
247,12863
248,568
249,300
250,987
251,3287
252,941
253,3278
254,835
255,365030
